gene_id;baseMean;log2FoldChange;lfcSE;stat;pvalue;padj;gene_name;product;significance
AENJPLPP_00748;1875.55002885515;2.99440820624773;0.0912951616703767;32.7991993382859;6.04493343040244e-236;7.78886997758049e-235;manP_2;PTS system mannose-specific EIIBCA component;Up in serum
AENJPLPP_01016;1451.85542354165;-2.52018494264726;0.0769313613403089;-32.7588762078332;2.26962964402346e-235;2.91152490017459e-234;ybiT_1;putative ABC transporter ATP-binding protein YbiT;Down in serum
AENJPLPP_02033;926.761069364962;3.81376902436734;0.116567974048924;32.7171253981533;8.91493213772191e-235;1.13860887653711e-233;;hypothetical protein;Up in serum
AENJPLPP_01501;10974.6133182557;-2.48552035264864;0.0764327793824783;-32.5190366323173;5.73914016669434e-232;7.29798085825936e-231;rpmJ;50S ribosomal protein L36;Down in serum
AENJPLPP_01480;9506.46455917507;-1.97746779483606;0.0608709705531169;-32.4862208843951;1.66917603560752e-231;2.11332200682134e-230;rplW;50S ribosomal protein L23;Down in serum
AENJPLPP_02609;3460.17823064022;-2.0690942547212;0.0639822090408451;-32.3385873313679;2.00744853933868e-229;2.53060179504512e-228;yidC;Membrane protein insertase YidC;Down in serum
AENJPLPP_00477;2773.7751313457;2.5207294585609;0.0780005940469264;32.316798216234;4.06303030679023e-229;5.09980355748843e-228;;hypothetical protein;Up in serum
AENJPLPP_00637;1240.478307933;-2.82307702590487;0.0874745649581994;-32.2731187889177;1.66748951361596e-228;2.08400406165222e-227;;hypothetical protein;Down in serum
AENJPLPP_02063;6164.85716229898;1.7953637914918;0.0557991499605802;32.1754684929815;3.89023844547495e-227;4.8411856210355e-226;;hypothetical protein;Up in serum
AENJPLPP_02057;1602.46289854156;2.76928770099905;0.0860812465989064;32.1706272900819;4.54658722027679e-227;5.63389871721107e-226;;hypothetical protein;Up in serum
AENJPLPP_01485;21850.8995208758;-2.39400489939751;0.0750268283486346;-31.9086512397013;2.02549777035767e-223;2.49925826579726e-222;rplP;50S ribosomal protein L16;Down in serum
AENJPLPP_02160;625.780162733613;3.79984598686457;0.119265050351775;31.8605155127746;9.4131703789961e-223;1.15658869804374e-221;;hypothetical protein;Up in serum
AENJPLPP_00425;2647.61603370558;2.3448162895779;0.0736107317093914;31.8542722661015;1.14868048437977e-222;1.40544435735878e-221;cmpD;Bicarbonate transport ATP-binding protein CmpD;Up in serum
AENJPLPP_00488;10549.4724114774;-1.91652525995157;0.0602661766567216;-31.8010095591125;6.26833253981409e-222;7.63739931210821e-221;;hypothetical protein;Down in serum
AENJPLPP_00849;4936.15118973806;-1.8796998277665;0.0591681359562097;-31.7687856375544;1.74747370168591e-221;2.12026809137891e-220;prfC;Peptide chain release factor 3;Down in serum
AENJPLPP_01362;954.415041831387;3.62348149221648;0.114182933055718;31.7340025803008;5.27867449664289e-221;6.3782158233295e-220;msrA_2;Peptide methionine sulfoxide reductase MsrA;Up in serum
AENJPLPP_02193;598.018522514208;4.45897639765184;0.14086707290339;31.6537875441618;6.72574557809199e-220;8.09312856339004e-219;smc_3;Chromosome partition protein Smc;Up in serum
AENJPLPP_00813;10391.7701290444;-1.84190790734566;0.0582204275353257;-31.6367980332688;1.15203684569724e-219;1.38054785788904e-218;thrS;Threonine--tRNA ligase;Down in serum
AENJPLPP_00512;8806.35917884945;-1.84578691225974;0.0583567916621951;-31.6293418415509;1.45882164873648e-219;1.7410199348855e-218;pheT;Phenylalanine--tRNA ligase beta subunit;Down in serum
AENJPLPP_00583;7657.09641632346;8.15606595955442;0.25815717541797;31.5934118288571;4.54742229545155e-219;5.40493621402241e-218;purN;Phosphoribosylglycinamide formyltransferase;Up in serum
AENJPLPP_00134;9099.49080498686;-1.70460033697444;0.054118671902918;-31.4974532270909;9.41276630112959e-218;1.1142266450768e-216;nusA;Transcription termination/antitermination protein NusA;Down in serum
AENJPLPP_00095;1142.74943579615;-2.68548866004458;0.0852900891237225;-31.4865266015726;1.32833893637737e-217;1.56604169341332e-216;folA_1;Dihydrofolate reductase;Down in serum
AENJPLPP_01504;43796.6145932216;-2.36949237796338;0.0753428009195181;-31.4494862023313;4.26606338453255e-217;5.00918410312854e-216;rpoA;DNA-directed RNA polymerase subunit alpha;Down in serum
AENJPLPP_01434;22564.5622308256;1.68143813785144;0.0536924294282902;31.3161120805144;2.81627727829481e-215;3.29357407003795e-214;purA;Adenylosuccinate synthetase;Up in serum
AENJPLPP_00640;624.592585877613;3.99959541105564;0.127961263609015;31.256298181584;1.83324690765028e-214;2.13536599803104e-213;;hypothetical protein;Up in serum
AENJPLPP_01828;1489.85542354772;2.62828108543261;0.0842494939041519;31.1964020629337;1.19214589212575e-213;1.38307921827497e-212;dapB;4-hydroxy-tetrahydrodipicolinate reductase;Up in serum
